id,region,suburb,postcode
1,Limestone Coast,KOPPAMURRA,5271
1,Limestone Coast,KRONGART,5278
1,Limestone Coast,KYBYBOLITE,5262
1,Limestone Coast,LAFFER,5267
1,Limestone Coast,LAURIE PARK,5271
1,Limestone Coast,LOCHABER,5271
1,Limestone Coast,LOWAN VALE,5268
1,Limestone Coast,LUCINDALE,5272
1,Limestone Coast,MAAOUPE,5277
1,Limestone Coast,MAGAREY,5280
1,Limestone Coast,MAKIN,5267
1,Limestone Coast,MARCOLLAT,5271
1,Limestone Coast,RACECOURSE BAY,5291
1,Limestone Coast,PORT MACDONNELL,5291
1,Limestone Coast,POOGINAGORIC,5268
1,Limestone Coast,PLEASANT PARK,5277
1,Limestone Coast,PINKS BEACH,5275
1,Limestone Coast,PINE HILL,5269
1,Limestone Coast,PETHERICK,5267
1,Limestone Coast,PENOLA,5277
1,Limestone Coast,PELICAN POINT,5291
1,Limestone Coast,PADTHAWAY,5271
1,Limestone Coast,OB FLAT,5291
1,Limestone Coast,NORA CREINA,5276
1,Limestone Coast,NENE VALLEY,5291
1,Limestone Coast,NARACOORTE,5271
1,Limestone Coast,NANGWARRY,5277
1,Limestone Coast,MUNDULLA WEST,5270
1,Limestone Coast,MUNDULLA,5270
1,Limestone Coast,MOYHALL,5271
1,Limestone Coast,MOUNT SCHANK,5291
1,Limestone Coast,MOUNT MCINTYRE,5279
1,Limestone Coast,MOUNT LIGHT,5271
1,Limestone Coast,MOUNT GAMBIER,5290
1,Limestone Coast,MOUNT CHARLES,5267
1,Limestone Coast,MOUNT BURR,5279
1,Limestone Coast,MOUNT BENSON,5275
1,Limestone Coast,MOORAK,5291
1,Limestone Coast,MONBULLA,5277
1,Limestone Coast,MOERLONG,5278
1,Limestone Coast,MINGBOOL,5291
1,Limestone Coast,MILLICENT,5280
1,Limestone Coast,MIL-LEL,5291
1,Limestone Coast,MCCALLUM,5267
1,Limestone Coast,CADGEE,5271
1,Limestone Coast,CANNAWIGARA,5268
