Regions/Towns,Regions/Towns,,Regions/Suburbs and Pcodes,Regions/Suburbs and Pcodes,Regions/Suburbs and Pcodes,,Regions/LGA,Regions/LGA,Regions/LGA,,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,,Regions/2006 ABS Bdy,Regions/2006 ABS Bdy,Regions/2006 ABS Bdy,Regions/2006 ABS Bdy,,Regions/2001 ABS Bdy,Regions/2001 ABS Bdy,Regions/2001 ABS Bdy,Regions/2001 ABS Bdy
SA Government Region,Town,,SA Government Region,Suburb,Postcode,,SA Government Region,Short LGA name,Full LGA name,,SA Government Region,GCC name 2016,GCC code 2016,SA4 name 2016,SA4 code 2016,SA3 name 2016,SA3 Code 2016,SA2 name 2016,SA2 code 2016,SA1 code 2016,,SA Government Region,SA4 code 2011,SA3 name 2011,SA3 Code 2011,SA2 name 2011,SA2 code 2011,SA1 code 2011,,SA Government Region,Statistical Local Area - name,Statistical Local Area - code,CD code,,SA Government Region,Statistical Local Area - name,Statistical Local Area - code,CD code
Adelaide Hills,Aldgate,,Adelaide Hills,ALDGATE,5154,,Adelaide Hills,Adelaide Hills,Adelaide Hills Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100301,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100301,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060101,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060101
Adelaide Hills,Balhannah,,Adelaide Hills,ASHTON,5137,,Adelaide Hills,Mount Barker,The District Council of Mount Barker,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100302,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100302,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060102,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060102
Adelaide Hills,Birdwood,,Adelaide Hills,BALHANNAH,5242,,"Barossa, Light and Lower North",Barossa,The Barossa Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100303,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100303,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060103,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060103
Adelaide Hills,Bridgewater,,Adelaide Hills,BASKET RANGE,5138,,"Barossa, Light and Lower North",Gawler,Town of Gawler,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100304,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100304,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060104,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060104
Adelaide Hills,Brukunga,,Adelaide Hills,BIGGS FLAT,5153,,"Barossa, Light and Lower North",Light,Light Regional Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100305,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100305,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060105,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060105
Adelaide Hills,Charleston,,Adelaide Hills,BIRDWOOD,5234,,"Barossa, Light and Lower North",Mallala,The District Council of Mallala,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100306,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100306,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060106,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060106
Adelaide Hills,Crafers,,Adelaide Hills,BLAKISTON,5250,,Eastern Adelaide,Adelaide,Adelaide City Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100307,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100307,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060107,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060107
Adelaide Hills,Cudlee Creek,,Adelaide Hills,BRADBURY,5153,,Eastern Adelaide,Burnside,City of Burnside,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100308,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100308,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060108,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060108
Adelaide Hills,Dawesley,,Adelaide Hills,BRIDGEWATER,5155,,Eastern Adelaide,Campbelltown,Campbelltown City Council,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100309,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100309,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060109,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060109
