Organisation Name,Project Title,Project Description,Region,Amount
Aboriginal Legal Rights Movement,Aboriginal Visitors Scheme (AVS) Child and Young People Justice,"Employ a field officer for a six month trial service, providing intervention support to 200 young Aboriginal people across South Australia who are in or are at risk of entering the Youth Justice system.",Statewide,"$19,828 "
Aborigninal Drug and Alcohol Council,ADAC and Adelaide Outriggers Men's Health Program,"Contribute towards the purchase of tables, chairs and outdoor shades to assist with the training and engaging of disadvantaged older Aboriginal men.",Western Adelaide,"$1,386 "
ActNow Theatre Incorporated,Responding to Racism - Program Development role,"Employ a part time Project Coordinator to raise awareness of racism through partnerships, support and train participants, and work alongside community organisations to meet the needs of 2,000 disadvantaged people from rural communities.","Adelaide Hills, Barossa, Eyre and Western, Far North, Fleurieu and Kangaroo Island, Limestone Coast, Murray and Mallee, Yorke and Mid North","$37,910 "
Adelaide Bangladeshi Cultural Club Inc,Multicultural Festival 2016 of Bengali Community,Fund a contribution to the Multicultural Festival 2016 for the Bengali community. With 500 people from a cultural and linguistically diverse background celebrating traditional Bangladeshi customs.,Southern Adelaide,"$1,254 "
Adelaide Kannada Sangha Inc,Kannada Rajyotsava Celebration of Art and Culture 2016,Contribute to the Kannada Rajyotsava Celebration of Art and Culture 2016 on 19 November for up to 700 people from the South Indian community living in South Australia to support community participation and unity.,Statewide,"$3,500 "
Adelaide Sarvajanik Ganeshotsav Samitee Incorporated,Shigarjana Adelaide live music band,"Purchase traditional musical instruments to increase community participation and promote cultural awareness, understanding and community unity.",Whole of metropolitan area,"$1,500 "
Adelaide Sarvajanik Ganeshotsav Samitee Incorporated,Adelaide Sarvajanik Ganeshotsav,"Purchase equipment to support 1,000 people from the Indian community to participate in cultural events and activities across Adelaide.",Whole of metropolitan area,"$9,000 "
Adelaide Sarvajanik Ganeshotsav Samitee Incorporated,Adelaide Sarvajanik Ganeshotsav 2016,"Contribute funds towards the Adelaide Sarvajanik Ganeshotsav festival on 10th and 11th September 2016 at George Cresswell Hall, Netherby for primarily people of Indian origin and other culturally diverse groups across Adelaide to unite together to build a strong and inclusive community.",Whole of metropolitan area,"$2,340 "
Adelaide Sri Lanka Buddhist Vihara Inc.,Sri Lankan New Year 2017: Annual Multicultural Festival,"A contribution towards the Sri Lankan New Year 2017 Annual Multicultural Festival, an event bringing together 600 Sri Lankan people across Adelaide.","Whole of metropolitan area, Adelaide Hills","$4,500 "
Adelaide Tamil Association Inc,Deepavali 2016 : Festival of Lights,Contribute to the cost of venue hire for the Deepavali 2016 on 12 November for up to 600 people from the Tamil community living in South Australia to support community unity and encourage cross cultural awareness.,Statewide,"$5,000 "
Afghan National Association of Australia In corporated,Nawruz Afghan New Year Cultural Event,Bringing together 200 Afghan people across Adelaide to celebrate the Nawruz New Year Cultural Event.,Whole of metropolitan area,$800 
African Communities Council of SA,Purchase of Office Equipment for Elizabeth Office,"Purchase IT equipment for the Elizabeth office to support programs and services including training, family crisis and casework management to the African community in Salisbury and Playford.",Northern Adelaide,"$7,620 "
Alawoona Water Supply Incorporated,Existing water storage tank upgrade,A contribution towards the purchase and installation of a new Water Tank to assist the people of Alawoona.,Murray and Mallee,"$3,957 "
Aldinga Bay Baptist Church,Aldinga Bay Community Carols,Fund a contribution towards a community carnival on 11th December 2016 for at risk families who are economically disadvantaged in the Aldinga region to promote social participation.,Fleurieu and Kangaroo Island,"$2,682 "
Alexandrina Connect Incorporated,Strengthening our Community Centre,Employ an Arts Project Officer to create community engagement projects in support of participants with complex health needs.,Fleurieu and Kangaroo Island,"$7,560 "
Alford CFS,Purchase of chainsaw and associated equipment,Purchase equipment to support 100 volunteers with their emergency services work throughout the Yorke and Mid North region.,Yorke and Mid North,"$1,527 "
Alliance Fran‡aise d'Adelaide Incorporated,Floor Coverings Upgrade/Replacement,"Upgrade the facility at 319 Young Street, Wayville to support French language and cultural activities for 600 people from Eastern Adelaide.",Eastern Adelaide,"$9,981 "
Anangu Ngangkari Tjutaku Aboriginal Corporation,Ngangkari Services in rural and remote regions of South Australia,"Purchase equipment to strengthen Ngangkari service delivery in rural and remote regions of South Australia for 800 Aboriginal people, Volunteers and Staff working with Aboriginal people.","Eyre and Western, Far North, Fleurieu and Kangaroo Island, Limestone Coast, Murray and Mallee","$45,000 "
Animal Welfare League of SA,First Aid Training for Thrift Shop Volunteers,"First Aid Training for six volunteers who are working in the Thrift stores, ensuring the safety of volunteers and members of the public.","Northern Adelaide, Southern Adelaide, Western Adelaide, Whole of metropolitan area","$1,307 "
Arabic Language and Culture Association of South Australia Inc.,ALCASA Monthly Arabic Cultural Exchange sessions and Cultural Workshops 2017,Contribute to Arabic language and cultural activities for 200 people from across Adelaide to promote connectedness with each other and to their community.,Whole of metropolitan area,"$5,000 "
Armenian Cultural Association of South Australia Inc.,Armenians Connect and Celebrate,"Contribute towards five community events to engage and celebrate with 500 people from across Adelaide, who are isolated and disengaged, to connect with the community through cultural activities that improve social and cultural connections.",Whole of metropolitan area,"$3,500 "
Associazione Nazionale Carabinieri Sezione 01 Adelaide Incorporated,Yearly Anniversary Dinner Dance Showcasing Italian Culture and Gran and Social Uniforms,"Contribute to the 41st Anniversary dinner on 3rd June at the Marche Club Rossini Hall for 320 Italian people from across Adelaide, to promote multiculturalism and enhance participation and inclusion.",Whole of metropolitan area,"$2,500 "
Australia Day Council of South Australia,Australia Day in the City Parade Workshops,"Contribute towards the Australia Day Parade in Elder Park on 26 January 2017,  by providing workshops with three community groups to help develop their parade entry that reflects their community and culture. 
?
Participants will learn, as a group, various skills in making floats, costumes and other items to take back and transfer the skills to their communities.",Statewide,"$7,149 "
Australia Day Council of South Australia,ADITC Parade Marshal Training,Contribute to Marshall Training to improve skills and knowledge of 100 volunteers involved in the Australia Day Parade and Australia Day in the City celebrations.,Statewide,"$1,450 "
Australia Donna Association (SA) Inc.,Exploring the legacy of the Italian language across generations of women of Italian origin,"Contribute to a digital story telling project for six, first generation Italian women in South Australia, engaging with second and third generation Italian women to explore cultural identity and promote community participation.",Statewide,"$5,000 "
Australian Irish Dancing Association (SA) Incorporated,"Showcasing the culture of Irish dance, music and history in Australia","Purchase equipment to showcase Irish dance, music and history, including a cultural exhibition in September 2017, for 4,000 people from across Adelaide.",Whole of metropolitan area,"$5,000 "
Australian Migrant Resource Centre,MYLinkSA Strengthened Connections,"Train 50 young people from across Adelaide, to each buddy with 10 young people who are new arrivals and isolated, to provide peer support, social and cultural assistance to encourage participation in the broader community.",Whole of metropolitan area,"$5,000 "
Australian Migrant Resource Centre,Syrian Young  Active Ambassadors of Walking Positive Stories Project,"Recruit, train and prepare a group of 48 young Syrian female ambassadors who will share positive stories of their life's journey with other young people to encourage cross-cultural awareness and community unity.",Whole of metropolitan area,"$4,800 "
Australian Refugee Association Inc (ARA),Harmony Day & Refugee Week 2017,A contribution towards Harmony Day and Refugee Week 2017 including the Portrait exhibition. An event designed to promote awareness of the refugee experience.,Whole of metropolitan area,"$7,520 "
Australian Refugee Association Inc (ARA),Crucial Comforts - Furniture Program,"Purchase a vehicle to assist volunteers provide furniture  to 1,000 people from culturally and linguistically diverse communities to improve safety and in-home comfort which contributes to overall positive health and well-being.",Whole of metropolitan area,"$50,000 "
Australian Refugee Association Inc (ARA),Australian Refugee Association - Multicultural Hub - Stage 1,"Develop the hub at Commercial Road, Salisbury to provide holistic services to 4,000 refugees and people from culturally and linguistically diverse communities including settlement, migration, social activities and employment, community education and skills development.",Northern Adelaide,"$5,000 "
Australian South East Asian Women's Association Inc,Upgrade of Office Equipment at Australian South East Asian Women's Association,"Purchase office equipment to continue providing essential services for 1,000 disadvantaged Asian community members who are socially isolated, with limited skills to gain employment.","Northern Adelaide, Western Adelaide","$5,000 "
Austrian Association of South Australia Inc.,60 Year Gala Ball Austrian Association of South Australia Inc,Bringing together 100 Austrian people across Northern Adelaide to celebrate the 60 Year Gala Ball.,Eastern Adelaide,"$3,000 "
Backpacks 4 SA Kids Inc,"Improve sorting, storage and packing facilities",Purchase a variety of storage equipment to assist with the increased demand of donated goods along with an air-conditioner installation to improve conditions for the volunteers.,Statewide,"$15,658 "
Backpacks 4 SA Kids Inc,Provision of computer and printer for the organisation's warehouse,"Purchase office equipment for 40 volunteers to administer the age-appropriate essential backpack service to 3,500 children in emergency situations across South Australia.",Statewide,"$1,232 "
Balaklava Town Hall Management Committee Inc,Replacement of stage curtains,"Upgrade the Balaklava Town Hall at 8 Wallace Street, to provide 10,000 regional community members with a venue, to participate in events and activities in the Yorke and Mid North region.",Yorke and Mid North,"$7,000 "
Bangladesh Puja and Cultural Society of South Australia Inc,Bengali New Year 2017,"Contribute to the Bengali New Year celebration on 7 May 2017 to support 300 people who are culturally and linguistically diverse, socially isolated, and experience language barriers and race discrimination be more connected to each other and their community.",Whole of metropolitan area,"$4,200 "
Bangladesh Puja and Cultural Society of South Australia Inc,Durga Puja 2016,"Contribute to the Durga Puja Festival in October 2016, a celebration for 500 Bengali and Indians to celebrate Hindu traditions and cultural experiences with the wider multicultural communities living in Australia.",Whole of metropolitan area,"$3,526 "
Bangladesh Puja and Cultural Society of South Australia Inc,Kali Puja 2016,"Contribute to the Kali Puja 2016 cultural event on 29 October 2016 for 300 people from the Bangladeshi and Indian communities who are socially isolated, experience language barriers and experience race discrimination to feel more connected to each other and to their community.",Whole of metropolitan area,"$1,255 "
Bangladesh Puja and Cultural Society of South Australia Inc,Saraswati Puja 2017,"Bring together people from the Bangladeshi and Indian communities, from across Adelaide, to participate in the Bengali Hindu traditions and cultural experiences through the Saraswati Puja celebration on 4th February 2017, to promote mutual respect, understanding and community unity.",Whole of metropolitan area,"$1,586 "
Baptist Care (SA) Incorporated,Indigenous resources to entertain and provide cultural connection for at-risk Aboriginal children and young people,"Purchase resources to support 25 Aboriginal young people who are in care, to remain connected with their community and enhance their wellbeing and resilience.","Whole of metropolitan area, Adelaide Hills, Limestone Coast","$1,600 "
Baptist Care (SA) Incorporated,Equipping Adventure Services to support at risk and/or disadvantaged young people,Purchase equipment to support recreational activities that promote engagement and social skills for 270 disadvantaged young people from across South Australia.,"Whole of metropolitan area, Adelaide Hills, Eyre and Western, Fleurieu and Kangaroo Island, Limestone Coast, Murray and Mallee","$14,249 "
Barkuma Inc,Barkuma Elizabeth Accessible Ramp & Entry Upgrade,"Develop the facility at 191/193 Philip Highway,Elizabeth to improve access for 250 people with disability from the Playford region.",Northern Adelaide,"$20,000 "
Bene Aged Care,"Revitalise, Renew, Re-engergise",Purchasing fitness related equipment to improve functional strength and flexibility. Improving safety for clients whilst completing daily activities and reduce vulnerability to falls or other injuries.,"Eastern Adelaide, Northern Adelaide, Southern Adelaide, Western Adelaide","$50,000 "
Bhutanese Australian Association of South Australia Inc (BAASA),Settlement Day/Cultural Event and Bhutanese Conference,A contribution towards the Settlement Day Cultural Event and Bhutanese Conference for 500 community members.,Whole of metropolitan area,"$5,000 "
Big Brothers Big Sisters Australia,Big Brothers Big Sisters Adelaide Mentoring HUB,Contribute towards the recruitment of 30 or more positive adult role models to assist 30 vulnerable young people.,"Adelaide Hills, Eastern Adelaide, Northern Adelaide, Southern Adelaide, Western Adelaide, Whole of metropolitan area","$28,435 "
Boneham Aged Care Services Inc,Cafe kitchen equipment,Contribute towards kitchen equipment to support volunteers provide hot beverages and meals to 60 elderly people from the Limestone Coast region.,Limestone Coast,"$5,000 "
Bosniaks' Association of South Australia - Bosniaks' Masjed Adelaide Inc,Outdoor upgrade,"Develop the facility at 1 Frederick Road, Royal Park by updating the outdoor area to provide a safer space for 450 Bosnian community members from across the Charles Sturt region.",Western Adelaide,"$4,734 "
Bosnian And Hercegovina Muslim Society SA,Commercial dishwasher,"Contribute towards kitchen equipment to support 400 people from culturally and linguistically diverse communities across Adelaide, who are supported by volunteers through low cost meals.",Whole of metropolitan area,"$3,947 "
Bridges and Pathways / Fibromyalgia Australia,Updating the computer and phone equipment in our office computer kiosk and group training room.,Purchase equipment to improve administrative services and strengthen the organisations capacity to support young people isolated and disadvantaged as a result of chronic illness or disability.,Statewide,"$4,990 "
Bund der Bayern Inc,Purchasing traditional costumes,Contribute to the purchase of traditional German costumes to support the organisation to continue to showcase their culture through regular performances for the public.,"Whole of metropolitan area, Adelaide Hills, Barossa","$3,500 "
Bund der Bayern Inc,"Microphones, speakers and accessories for German dance group","Purchase audio equipment to support events, celebrations and recreational activities for 4,000 people who are culturally and linguistically diverse.","Whole of metropolitan area, Adelaide Hills, Barossa, Fleurieu and Kangaroo Island, Murray and Mallee","$2,904 "
Bute Country Fire Service Brigade,FLIR (Forward Looking Infrared Camera) Project,"Contribute funds to a $10,000 project to purchase 2FLIR PathfinderIR II Cameras and display to provide a safer working environment for 35 volunteers from the Bute area and enable them to work more confidently in unfamiliar terrain.",Yorke and Mid North,"$8,114 "
C.a.F.E enfield Child Care Centre Inc,"Multicultural Families with children with a special need, support group",Develop a support group to provide information and connection for fifteen culturally and linguistically diverse families from the Port Adelaide Enfield region who have young children with special needs.,"Northern Adelaide, Western Adelaide","$2,025 "
Callington A & H Society Inc,Dance and Drum Festival at the Callington Show 2016,"Contribute towards the Dance and Drum Festival at the Callington Show 2016, an event with an aim to bring city and rural communities together.","Adelaide Hills, Eastern Adelaide, Fleurieu and Kangaroo Island, Murray and Mallee","$2,990 "
